feature,feature_category,max_abs_feature_correlation,redundancy_flag,logistic_abs_coef,random_forest_importance,selection_decision,logistic_regression_guidance,tree_model_guidance,default_selection_rule
V14,PCA,0.3860306617253575,False,1.0924702353489755,0.17306037277406755,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V14_V12_interaction,INTERACTION,0.8722733131401713,True,0.6406940324283492,0.12009594224344307,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V17_V16_interaction,INTERACTION,0.9447388028184504,True,0.026140202277490917,0.11486114901796997,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V10,PCA,0.2817450598535756,False,0.39230485374647184,0.11405577711172725,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V12,PCA,0.35495327057105885,False,0.931056134048301,0.07982169723452529,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V4,PCA,0.12306453068664772,False,1.1683056306157267,0.06613644558886629,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V11,PCA,0.24853595728863123,False,0.3470651454864715,0.03136450517732919,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V17,PCA,0.8537768448110657,True,0.4709883817273243,0.025440855990999777,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V16,PCA,0.27684302752195583,False,0.3013532241176616,0.018609590853170755,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V3,PCA,0.42205381041134654,False,0.4197950045414193,0.01813260486000584,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V7,PCA,0.4004079784579554,False,0.08411228833333988,0.016106533416513105,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V18,PCA,0.205659139504377,False,0.02967832964928763,0.011488530937131723,KEEP,Use in default logistic baseline.,Use in default tree baseline.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
